,Sample Name,Target Name Dpt,Quantity Dpt,Target Name pol2,Quantity pol2,Relative Quantity
0,WT,Dpt,4.172328472137451,pol2,0.0004930456052534282,8462.358101727426
0,WT,Dpt,0.013402022421360016,pol2,0.0001055528991855681,126.96972347295252
0,WT,Dpt,9.5372896194458,pol2,0.0005447547300718725,17507.492992649175
0,WT,Dpt,0.2051168829202652,pol2,0.0003273133479524404,626.6682498694471
0,WT,Dpt,0.9643926620483398,pol2,0.0003746541333384812,2574.0878752752465
0,WT,Dpt,0.6083076596260071,pol2,0.0005399389192461967,1126.6231011375494
1,C,Dpt,27.48638153076172,pol2,0.014457754790782928,1901.1514532176716
1,C,Dpt,0.017279889434576035,pol2,0.000939111050684005,18.40026205845428
1,C,Dpt,0.4661864936351776,pol2,3.2527081202715635e-05,14332.257196082397
1,C,Dpt,0.06281694769859314,pol2,8.158075070241466e-05,769.997176512055
1,C,Dpt,0.7677236795425415,pol2,0.00041218518163077533,1862.569819965649
1,C,Dpt,0.7008433938026428,pol2,0.00060805439716205,1152.5998283601984
2,WT-PBS,Dpt,4.329659461975098,pol2,0.0010545426048338413,4105.72265371611
2,WT-PBS,Dpt,0.10815315693616867,pol2,0.0009847310138866305,109.83015200191517
2,WT-PBS,Dpt,4.57440710067749,pol2,0.0021656795870512724,2112.227093993102
2,WT-PBS,Dpt,0.00035762242623604834,pol2,0.0005481960834003985,0.6523622423891772
2,WT-PBS,Dpt,0.1432492583990097,pol2,0.0006372833158820868,224.78112140866776
2,WT-PBS,Dpt,0.6541804671287537,pol2,0.00032136141089722514,2035.6534572782532
3,C-PBS,Dpt,2.6532225608825684,pol2,0.001538879587315023,1724.1261647454871
3,C-PBS,Dpt,0.0010757596464827657,pol2,0.0008399176294915378,1.2807918404260665
3,C-PBS,Dpt,7.093472003936768,pol2,0.0017628686036914587,4023.823437029277
3,C-PBS,Dpt,1.3659266233444214,pol2,5.0013699365081266e-05,27311.049586107776
3,C-PBS,Dpt,1.4858756065368652,pol2,0.001343312906101346,1106.1276935463045
3,C-PBS,Dpt,1.1653099060058594,pol2,0.0009763123234733939,1193.5831167838535
4,WT-Ecoli,Dpt,7.063198089599609,pol2,0.0013119424693286419,5383.771205466081
4,WT-Ecoli,Dpt,0.009239338338375092,pol2,0.00024610612308606505,37.542090471044595
4,WT-Ecoli,Dpt,55.50886154174805,pol2,0.007059449329972267,7863.058285024352
4,WT-Ecoli,Dpt,0.5864264369010925,pol2,6.486105849035084e-05,9041.271458564514
4,WT-Ecoli,Dpt,0.9113672375679016,pol2,0.0008754460723139346,1041.0318423829603
4,WT-Ecoli,Dpt,1.0069137811660767,pol2,0.0006685879779979587,1506.0303420070634
5,C-Ecoli,Dpt,2.7826404571533203,pol2,0.000992617686279118,2803.335559720078
5,C-Ecoli,Dpt,2.2925491975911427e-06,pol2,0.00056125019909814,0.0040847187248663555
5,C-Ecoli,Dpt,3.3738698959350586,pol2,0.001626692246645689,2074.0677303233765
5,C-Ecoli,Dpt,1.4606372117996216,pol2,0.00047893403097987175,3049.767018666936
5,C-Ecoli,Dpt,0.9063997864723206,pol2,0.0008655228302814066,1047.2280507928642
5,C-Ecoli,Dpt,1.1606204509735107,pol2,0.0011246814392507076,1031.9548366929098
